x,y,z
-2.910109352944851846e-01,1.500043488422828086e-01,8.275190920893621405e-01
-2.908495073722434654e-01,1.510037548223929771e-01,8.275188119484950811e-01
-2.907432528282630213e-01,1.519979807863431343e-01,8.275186263443292667e-01
-2.910922467696844818e-01,1.529578688869672187e-01,8.275192343280686202e-01
-2.919443438481537645e-01,1.538839853683905967e-01,8.275207161877635720e-01
-2.930150138687084294e-01,1.548001162091689475e-01,8.275225775571779518e-01
-2.943033906372742314e-01,1.557082563022570976e-01,8.275248183124106482e-01
-2.903052815135498954e-01,1.480880446115928062e-01,8.265355070973566809e-01
-2.897911654083597521e-01,1.491167593131261238e-01,8.265361047972871189e-01
-2.893944529828345047e-01,1.501327502856450447e-01,8.265365629843399731e-01
-2.893438000200506122e-01,1.511188029626803764e-01,8.265366225808711276e-01
-2.895388858576754543e-01,1.520856499055819877e-01,8.265363968326802091e-01
-2.898795991026930641e-01,1.530428371707396873e-01,8.265360018352966298e-01
-2.905036825785876076e-01,1.539818394313054450e-01,8.265352787472380891e-01
-2.914067458423582613e-01,1.549054040888743766e-01,8.265342309138401511e-01
-2.924388311357480341e-01,1.558257966617541679e-01,8.265330362573870548e-01
-2.935861997856457073e-01,1.567449896911578544e-01,8.265317071680101657e-01
-2.950061568981266480e-01,1.576546124497847923e-01,8.265300612629777888e-01
-2.888246097844184290e-01,1.472329135368066200e-01,8.255587816537031109e-01
-2.885005647351397973e-01,1.482421710471110710e-01,8.255600964944290743e-01
-2.882608156958707535e-01,1.492423239479260810e-01,8.255610708543488219e-01
-2.881283547853291660e-01,1.502321838716464408e-01,8.255616056124126523e-01
-2.881266230166873443e-01,1.512108418474393257e-01,8.255616146572084535e-01
-2.883858710249770918e-01,1.521693962941365608e-01,8.255605631067711725e-01
-2.887843878253130714e-01,1.531191367039876350e-01,8.255589448317314227e-01
-2.893806702008560605e-01,1.540571163723664649e-01,8.255565264020169325e-01
-2.902217778524323610e-01,1.549818265567021736e-01,8.255531125491595290e-01
-2.911601408478752817e-01,1.559050820151763328e-01,8.255493044423265481e-01
-2.922315617103823371e-01,1.568254820386367210e-01,8.255449553823640541e-01
-2.934686481678138725e-01,1.577422368655400642e-01,8.255399356445981551e-01
-2.947237404595516863e-01,1.586651644984679588e-01,8.255348430528607340e-01
-2.889164205329193824e-01,1.452565390000539192e-01,8.245793200973704495e-01
-2.876437476361790035e-01,1.463577385375695594e-01,8.245881758197646239e-01
-2.872114825964031670e-01,1.473746124038892158e-01,8.245911852587386459e-01
-2.870618510703013548e-01,1.483639209846454032e-01,8.245922244190447836e-01
-2.869527622838024539e-01,1.493488840142684348e-01,8.245929838101877518e-01
-2.869118615933083927e-01,1.503275475779967674e-01,8.245932706417257174e-01
-2.869298041140441180e-01,1.513012881705956825e-01,8.245931441384858340e-01
-2.871874197225445235e-01,1.522566742578940757e-01,8.245913520299049670e-01
-2.876232673687650343e-01,1.532003498951392539e-01,8.245883184301749935e-01
-2.882590216048688259e-01,1.541323281208472618e-01,8.245838939143134150e-01
-2.891156703219461832e-01,1.550528939197259315e-01,8.245779337655873009e-01
-2.900004420349844292e-01,1.559766206274228462e-01,8.245717769854785661e-01
-2.909485353721849576e-01,1.569015301147895225e-01,8.245651789927967990e-01
-2.920664417768372711e-01,1.578218370059924491e-01,8.245573986098919672e-01
-2.933071703133433017e-01,1.587416800985532173e-01,8.245487665293664836e-01
-2.946251326089601719e-01,1.596645648906426795e-01,8.245395946108233787e-01
-2.884420274362500258e-01,1.433367702493863471e-01,8.236045317268331223e-01
-2.872355069369536551e-01,1.444375749061303504e-01,8.236164294742465142e-01
-2.864794353579252495e-01,1.454874846468167671e-01,8.236238833771934997e-01
-2.862221381757974470e-01,1.464858959744172462e-01,8.236264196370559620e-01
-2.860632229721688513e-01,1.474738038460212119e-01,8.236279881037681383e-01
-2.859655275308409794e-01,1.484553619603114494e-01,8.236289493301488518e-01
-2.859033823496388571e-01,1.494333028177218803e-01,8.236295641284603342e-01
-2.858659220268829904e-01,1.504088203737931617e-01,8.236299333543709578e-01
-2.858711455823075842e-01,1.513807243982749351e-01,8.236298819353263800e-01
-2.861499636789711642e-01,1.523315879831509956e-01,8.236271318217989190e-01
-2.865808915757848685e-01,1.532727937529282936e-01,8.236228823784915720e-01
-2.871874800624836244e-01,1.542039989808993705e-01,8.236169020338515168e-01
-2.880170393683472163e-01,1.551234807203011878e-01,8.236087212019054249e-01
-2.888865067912921303e-01,1.560451901833014854e-01,8.236001498330228765e-01
-2.897713162942305853e-01,1.569709974656300910e-01,8.235914237114013714e-01
