x,y,z,nx,ny,nz
-3.389466820186515239e-01,7.404278326820343259e-02,7.039131073854755227e-01,-6.648111374838618914e-01,-7.465325254220658291e-01,2.674584013199467550e-02
-3.300888602406474304e-01,7.433131352107733014e-02,7.278817151432962484e-01,-5.394609567902541869e-01,-6.966504412903229415e-01,4.729270966533234422e-01
-3.680519493697976263e-01,1.298198887709876848e-01,6.440193491950526594e-01,-5.911951245297099033e-01,-2.921499428421936995e-01,-7.517557686041420606e-01
-3.852652131246191436e-01,1.351204702262183976e-01,6.764112802460464646e-01,4.310044685190755898e-01,8.479107377797275857e-01,-3.086786822481062953e-01
-3.423771019682737560e-01,1.192444378141662431e-01,7.236033859795598655e-01,-8.346754688146756918e-01,3.582657639198917887e-01,4.182851947677537763e-01
-3.475662379799959734e-01,1.131329314414760423e-01,6.573230863259593715e-01,4.401790090698738389e-01,8.232189093891013609e-01,-3.585429781748382116e-01
-3.387414885597732073e-01,1.245489829782745195e-01,7.248691736803766217e-01,-7.396631261472788044e-01,4.891071767572391926e-01,4.622473682592442290e-01
-3.331211738749812468e-01,7.567112255882232907e-02,7.263401464147825060e-01,-5.819683909428575719e-01,-6.757266008028082194e-01,4.524448617355086300e-01
-3.406822170125323179e-01,8.285323545377462628e-02,7.237194510294469030e-01,-7.784071522217413941e-01,-4.582087871069872032e-01,4.291002362944845716e-01
-3.468682135462659577e-01,1.025254504386684251e-01,7.211105309770280414e-01,-9.233007280289212693e-01,1.888936655095143843e-02,3.836130308690878232e-01
-3.447813656740029709e-01,1.129460770889223475e-01,7.228451852390807009e-01,-8.925217263414336744e-01,1.976533363259016796e-01,4.053863917890520030e-01
-3.288638930661756388e-01,7.243535868864267591e-02,7.263409314534970962e-01,-5.165916127052079254e-01,-7.411145445979234747e-01,4.288150387615212722e-01
-4.085977464853450813e-01,1.542976798121234727e-01,6.721937239325773694e-01,-6.406221278271283515e-01,-7.629205597906492109e-01,8.692242971158066489e-02
-3.363061126150229674e-01,7.697626031975954297e-02,7.237949547545342588e-01,-6.627897731414396088e-01,-6.304941285682245100e-01,4.039639469805617056e-01
-3.402526362946871052e-01,8.147941451560467008e-02,7.229197622236526177e-01,-7.717168934778642075e-01,-4.914923728558747706e-01,4.035942067787599563e-01
-3.275622704729435064e-01,9.420287624042242292e-02,6.404445071809790058e-01,-7.563005749162110547e-01,-6.523281151560971214e-01,4.977419570723790737e-02
-3.472574334116347305e-01,9.974418968003004315e-02,7.200485388804844789e-01,-9.290097367797640615e-01,-4.722502309465456682e-02,3.670295712365732044e-01
-3.473239416536476609e-01,1.010996291045448137e-01,7.200257806874441613e-01,-9.316794932395849882e-01,-1.055206763776836247e-02,3.631280431822888066e-01
-3.143556492659518864e-01,8.147377535741537335e-02,6.236658069901528378e-01,-5.326340505928374158e-01,-7.357729719046088857e-01,-4.182572198584579848e-01
-3.449665901648827915e-01,1.132114444180429974e-01,6.843615966091315395e-01,-8.903161681134346139e-01,2.756833440890290032e-01,-3.624028346849680338e-01
-3.986077603591776097e-01,1.479383187000057054e-01,6.809907921889188920e-01,-5.679562962026021289e-01,-6.256587788120456795e-01,5.347679291984903660e-01
-3.300026878691645349e-01,7.240856034721940282e-02,7.249717515768163700e-01,-5.259761298328831103e-01,-7.438793579342588558e-01,4.123016028168413616e-01
-3.331809825252363688e-01,7.423864878754823926e-02,7.238940976109922154e-01,-5.789637059134807862e-01,-7.076550459138658544e-01,4.050004484288541873e-01
-3.388166832749877067e-01,7.874813038896530393e-02,7.219832192145858585e-01,-7.247369117626571988e-01,-5.760428175252760852e-01,3.780622714663126605e-01
-3.423110987480097456e-01,8.321424029808252576e-02,7.207983797103207912e-01,-8.126292595087500903e-01,-4.539384820220536132e-01,3.654771417336166728e-01
-3.476866857910024255e-01,9.968890450935571912e-02,7.189757014542741409e-01,-9.358224131858142725e-01,-5.106544022846970510e-02,3.487531100841275711e-01
-3.477589319027872272e-01,1.010414996747276140e-01,7.189511979873489667e-01,-9.375044904869012097e-01,-1.563514285720847552e-02,3.476217378483838494e-01
