x,y,z,nx,ny,nz
-2.781884761023910024e-01,1.091969901323318615e-01,6.685741269025240463e-01,6.485078466872812308e-01,1.539157513480711170e-01,-7.454847512001733234e-01
-2.778103724149577070e-01,1.082869091629982128e-01,6.687184119630994461e-01,6.554498892187262671e-01,1.380987673646018876e-01,-7.425053354525723570e-01
-2.773183954918516103e-01,1.069184517115354671e-01,6.689061606128134940e-01,6.637087401274496257e-01,1.082109281880697937e-01,-7.400679376487786509e-01
-2.767272102923946653e-01,1.041496334224939480e-01,6.691317655738775461e-01,6.810229748284279960e-01,4.404829590963064978e-02,-7.308657637691802211e-01
-2.766263714747742020e-01,1.027462811768055095e-01,6.691702532863148534e-01,6.818683926391415628e-01,1.371950682884202737e-02,-7.313462041004157310e-01
-2.766319341480904526e-01,1.018024863302707805e-01,6.691681202013225471e-01,6.798863954130757170e-01,-1.459192311188052364e-02,-7.331722615539351118e-01
-2.766851210166118569e-01,1.008527421951294079e-01,6.691478256619757259e-01,6.798554440987997216e-01,-3.364548112419382675e-02,-7.325739257775596425e-01
-2.769315976493352816e-01,9.940605923533440968e-02,6.690537694499922861e-01,6.736648121214894314e-01,-7.941953695815673342e-02,-7.345562017220970130e-01
-2.792540244143997819e-01,1.148045708984136715e-01,6.691402894885574160e-01,6.306861297993544557e-01,2.450705255174867314e-01,-7.363256366590088531e-01
-2.773344954761723935e-01,1.116487368568778171e-01,6.698669679592726967e-01,6.641414828419270888e-01,1.965599150401508566e-01,-7.212522063759194690e-01
-2.762893410723629151e-01,1.093869035691023006e-01,6.702626257368278218e-01,6.815580247196053598e-01,1.569820236926348089e-01,-7.147274327865658083e-01
-2.759583877815165454e-01,1.084779569506645336e-01,6.703879147438090991e-01,6.894163524693026623e-01,1.401652817551611308e-01,-7.106748811787414466e-01
-2.755610838511264316e-01,1.071081267297268047e-01,6.705383259808690433e-01,6.998853677988929878e-01,1.111243507311205636e-01,-7.054564861423198163e-01
-2.752578507530746843e-01,1.057312482595443859e-01,6.706531200510947865e-01,7.114462403495761533e-01,8.222086569109204879e-02,-6.979140178685769857e-01
-2.749410710289457160e-01,1.024829757958650722e-01,6.707730473526882786e-01,7.191870576952476002e-01,3.335477759884003697e-03,-6.946995956522459270e-01
-2.750408376046097336e-01,1.001255096495151653e-01,6.707352770288490529e-01,7.152813314983768045e-01,-5.980729839459051483e-02,-6.962727223356158790e-01
-2.752213177077399431e-01,9.916388183832169911e-02,6.706669504111770763e-01,7.114472864876987268e-01,-8.724636772447544319e-02,-6.973025382631100610e-01
-2.754584326051098819e-01,9.819371193647385976e-02,6.705771809367960801e-01,7.060357376042405431e-01,-1.204439923070995538e-01,-6.978587120203940675e-01
-2.759755619902147794e-01,9.671339519321919820e-02,6.703814158721772554e-01,6.950531378512634362e-01,-1.560343605336714234e-01,-7.017119589100684340e-01
-2.765568717594774628e-01,9.521993562579156301e-02,6.701613527690090111e-01,6.828461269388054200e-01,-1.754687937874843395e-01,-7.091768956554057590e-01
-2.794029081960818783e-01,1.176508826762437954e-01,6.700567944339937965e-01,6.253369325440886195e-01,3.012076385893403541e-01,-7.198803228674771626e-01
-2.786850983334972498e-01,1.167522327601909771e-01,6.703263471905248627e-01,6.381794468238601858e-01,2.860218048537399027e-01,-7.147856467499896782e-01
-2.780343379138575099e-01,1.158527707308530941e-01,6.705707311300838080e-01,6.501883534569711243e-01,2.675491850611573241e-01,-7.111065592455350082e-01
-2.771496344704423853e-01,1.145038747787475719e-01,6.709029556483941947e-01,6.651108888400202312e-01,2.451865832753504226e-01,-7.053018041162624208e-01
-2.763400221607447138e-01,1.131556698679924144e-01,6.712069812192393847e-01,6.839958377118061650e-01,2.258558662499432768e-01,-6.936417098714668938e-01
-2.741439620962758394e-01,1.072623276710510387e-01,6.720316460515637358e-01,7.409762026527827450e-01,1.113059986064082046e-01,-6.621766187220610167e-01
-2.738526601989917375e-01,1.058907502889633312e-01,6.721410449630472739e-01,7.499371210348521055e-01,8.551986626760328669e-02,-6.559578240767686141e-01
-2.737224379373605077e-01,1.049708047509193554e-01,6.721899443505584548e-01,7.531385325866530867e-01,6.526826885431488701e-02,-6.546162263601353892e-01
-2.763412170650003663e-01,9.243357867002488515e-02,6.712065356701203411e-01,6.855755588336402973e-01,-2.246208310662144436e-01,-6.924822274839008696e-01
-2.787679342904428870e-01,1.191237860918045177e-01,6.712657961809698204e-01,6.302503650698938475e-01,3.459005047984420878e-01,-6.948962300100254286e-01
-2.772790885439374575e-01,1.173321244865656032e-01,6.718203526832791095e-01,6.668901574851738845e-01,3.027412314186732623e-01,-6.807773058163935076e-01
-2.763714336214348477e-01,1.159837854653597011e-01,6.721584382292656867e-01,6.894727382130418913e-01,2.779122807506377302e-01,-6.688737604877238452e-01
-2.755872790665694905e-01,1.146344489976763859e-01,6.724505142619489062e-01,7.034863551363768064e-01,2.520870543602978242e-01,-6.644150848728658243e-01
-2.735410984547282376e-01,1.096649201214313640e-01,6.732126708822262495e-01,7.522289709388275680e-01,1.506852738415454807e-01,-6.414401948175767476e-01
-2.731950339120331472e-01,1.083000231161713733e-01,6.733415770641183462e-01,7.606917859824093853e-01,1.289330427505668564e-01,-6.361254976260442007e-01
-2.728621133161502899e-01,1.069365175068378582e-01,6.734655822057018515e-01,7.704934106485402667e-01,1.051250670628172262e-01,-6.287198298305994859e-01
-2.726112790742738490e-01,1.055671846121549740e-01,6.735590142028740068e-01,7.783457807553251229e-01,8.074523678263748061e-02,-6.225424264570833532e-01
-2.730409262032225115e-01,1.041183391213417186e-01,6.729215320390691257e-01,7.690456408849105641e-01,4.603311655863526197e-02,-6.371783607165691921e-01
-2.728049330257331095e-01,1.010427506268024578e-01,6.731686584928749939e-01,7.763967151483704976e-01,-4.376183155158471644e-02,-6.282762615827851560e-01
-2.731126940559418514e-01,9.991603285074235341e-02,6.728947829847601314e-01,7.688154263344912920e-01,-6.900058274113421430e-02,-6.353029053899786893e-01
-2.728797895729659917e-01,9.808600820600987813e-02,6.734589975943617857e-01,7.741727337457999791e-01,-1.177453116742607775e-01,-6.217950413002280019e-01
-2.739493294896512832e-01,9.467175915837289235e-02,6.730606201830020563e-01,7.453613358426700586e-01,-1.852601332378243648e-01,-6.404023438929108414e-01
-2.747666063345268195e-01,9.267971605062486073e-02,6.727561956499313878e-01,7.219297622931615255e-01,-2.159705748460357955e-01,-6.573995201671597455e-01
-2.752489814015361969e-01,9.166870206594468495e-02,6.725765243745677191e-01,7.103884628415081393e-01,-2.298106561554295046e-01,-6.652332629830607358e-01
-2.764142182313822360e-01,8.960617646574975392e-02,6.721425035292954986e-01,6.811656746486223213e-01,-2.677037648742861542e-01,-6.814308607280857855e-01
-2.804894741354960197e-01,1.223531508445739879e-01,6.715999575245938935e-01,5.978431601883320567e-01,4.468203922006190321e-01,-6.655336903040397489e-01
-2.794063863537203374e-01,1.214621433615684643e-01,6.720000893785356144e-01,6.181205132495364296e-01,4.244668701962421853e-01,-6.616304914421160532e-01
-2.772636620871502533e-01,1.192263479903340473e-01,6.727916847028088121e-01,6.656048516971349027e-01,3.551225120504317712e-01,-6.562273323443486017e-01
-2.759398491715673862e-01,1.174322221055627002e-01,6.732807477148525788e-01,7.021564859292290794e-01,3.078926705657003549e-01,-6.418288139091223865e-01
-2.722611250448654929e-01,1.088653238117694988e-01,6.746397914729781453e-01,7.872268920592703223e-01,1.276713672302481617e-01,-6.033024468774024207e-01
-2.714363695167805179e-01,1.038494476675987377e-01,6.749444905713568588e-01,8.057608199028067908e-01,3.737241752864923355e-02,-5.909237269692513284e-01
-2.718387633130791015e-01,9.823374576866628072e-02,6.747958308032473429e-01,8.028491064753371376e-01,-1.148735789916591754e-01,-5.848908985397841542e-01
-2.721740526542502092e-01,9.679527148604394338e-02,6.746719626965153038e-01,7.916554372613787693e-01,-1.469102865884507336e-01,-5.930421876637399503e-01
-2.753761219897282730e-01,8.884280115365983388e-02,6.734890129350651344e-01,6.971175871297593529e-01,-2.875075863161705714e-01,-6.567849400869603116e-01
-2.761080912942807108e-01,8.778323546051980397e-02,6.732185908869271485e-01,6.817375342946377925e-01,-3.163464440868255512e-01,-6.596657196243325139e-01
-2.789135252708497825e-01,1.224434015899896755e-01,6.731523948762211385e-01,6.259510197383458818e-01,4.561940452662842094e-01,-6.325126986488952552e-01
-2.779460022254622298e-01,1.215505538135767116e-01,6.735068819823226693e-01,6.468490211924634581e-01,4.265190790389550846e-01,-6.321928653489483629e-01
-2.770616338111954735e-01,1.206583896279335155e-01,6.738309151370753813e-01,6.690269638935175678e-01,3.927013275999405861e-01,-6.310218608611479763e-01
-2.740673107972341205e-01,1.161681333184242382e-01,6.749280097144021440e-01,7.509481121191411424e-01,2.885421258023895819e-01,-5.939868471120685056e-01
-2.719754918804210275e-01,1.116850668191909923e-01,6.756944334958744358e-01,7.949232528292636824e-01,1.835558268630076983e-01,-5.782769929160072042e-01
-2.716036035784170632e-01,1.103280953690409794e-01,6.758306952030717074e-01,8.013274506567331645e-01,1.518742847168721155e-01,-5.785176519658526972e-01
-2.712315836932195356e-01,1.085111809521913662e-01,6.759669992845176445e-01,8.093864359235365402e-01,1.228293799516171902e-01,-5.742592597473883398e-01
-2.707281857949497272e-01,1.057881557941436901e-01,6.761514434862330170e-01,8.208746659070436102e-01,7.856869558165249789e-02,-5.655428453824374868e-01
-2.705794739882890765e-01,1.011833486706018581e-01,6.762059288405072310e-01,8.319315743625511628e-01,-4.342277330954041892e-02,-5.530474555746814902e-01
-2.707196430472704196e-01,9.977893471717835805e-02,6.761545742245917978e-01,8.301345803948040336e-01,-7.764870938399578981e-02,-5.521297459508430761e-01
-2.709390150289186505e-01,9.836252719163895986e-02,6.760741977086950349e-01,8.252970810967045212e-01,-1.072344023238329114e-01,-5.543230168695030269e-01
-2.717516299630182153e-01,9.500688254833222768e-02,6.757764571558168010e-01,7.997321003938205886e-01,-1.688742252356425222e-01,-5.761163629430685607e-01
-2.720549720942248006e-01,9.403452217578889272e-02,6.756653147050667441e-01,7.913208321927314159e-01,-1.829996987243344142e-01,-5.833716232425141257e-01
-2.723849629196773425e-01,9.305635035037995717e-02,6.755444058572772636e-01,7.832296181745684871e-01,-1.955370172538363760e-01,-5.901835647470985435e-01
-2.727397954626375465e-01,9.207237452268601796e-02,6.754144036443766597e-01,7.732133365467395159e-01,-2.122075348311714960e-01,-5.975860593647877028e-01
-2.735417105272109350e-01,9.008343458175660512e-02,6.751205910109004948e-01,7.500602644453349122e-01,-2.510872728043294089e-01,-6.118535618396599984e-01
-2.739972773150841090e-01,8.907654076814652822e-02,6.749536686849655354e-01,7.385463121696678179e-01,-2.769788589590495009e-01,-6.146804506980245719e-01
-2.752951703239397974e-01,8.698957726359368703e-02,6.744781354484206126e-01,7.073790625980451718e-01,-3.332458451098666008e-01,-6.233474701279551056e-01
-2.761691885181836170e-01,8.590179994702340505e-02,6.741578986298761844e-01,6.843622451378992277e-01,-3.653749920789707284e-01,-6.309908340008641980e-01
-2.771318125056834725e-01,8.479336217045785329e-02,6.738051942158558294e-01,6.726820920050409214e-01,-3.814849799025836763e-01,-6.340094740652121308e-01
-2.809245907639740802e-01,1.252006174623966350e-01,6.733915080539556453e-01,5.741919424966112073e-01,5.315663646939832176e-01,-6.226883755924718100e-01
-2.765737847842094643e-01,1.216338159143924846e-01,6.749723802611466983e-01,6.848643276739595498e-01,4.188546527627207139e-01,-5.962563480070598443e-01
-2.757920953698532185e-01,1.207396475225687160e-01,6.752564066733734993e-01,7.017398328787363138e-01,3.931655941674647159e-01,-5.941229018597646849e-01
-2.736010612382158147e-01,1.171412182599306240e-01,6.760525182004795131e-01,7.665298303396946844e-01,3.000619235578285693e-01,-5.677982575089278727e-01
-2.709840427482235192e-01,1.113181965053081646e-01,6.770034208760347116e-01,8.165782548860724965e-01,1.767688424597524954e-01,-5.493312050231348165e-01
-2.703765823679902813e-01,1.086039006337523594e-01,6.772241446209998905e-01,8.294207920702383330e-01,1.232541321943062401e-01,-5.448262511244186257e-01
-2.700401684985089812e-01,1.067931050062179699e-01,6.773463777260151364e-01,8.362306807421173716e-01,9.769358527587540530e-02,-5.395428223250936517e-01
-2.697369272229705461e-01,1.040609286725521221e-01,6.774565688624893944e-01,8.460995553725723095e-01,3.001972305332761132e-02,-5.320384605089735208e-01
-2.700001290460365966e-01,9.941877923905850789e-02,6.773609272093139566e-01,8.458500137638523819e-01,-8.551028595206663918e-02,-5.264092799167281456e-01
-2.702045550601866464e-01,9.800777152180673024e-02,6.772866471335867722e-01,8.417354684117552832e-01,-1.090686645249430708e-01,-5.287583830412412311e-01
-2.704706740157490352e-01,9.658602751791478536e-02,6.771899597533356241e-01,8.315814403044459180e-01,-1.359038836278432527e-01,-5.384004075800334910e-01
-2.708174547080292038e-01,9.515058562159539601e-02,6.770639553401771593e-01,8.193847863967839151e-01,-1.615811766295442153e-01,-5.500000865277285822e-01
-2.712347637443005555e-01,9.370122231543065450e-02,6.769123224361781599e-01,8.101664745226108133e-01,-1.806981825768842476e-01,-5.575854961234920637e-01
-2.720494649286964162e-01,9.125925168395043752e-02,6.766163058461589497e-01,7.906174984145168949e-01,-2.183716049675025195e-01,-5.720470377029219788e-01
-2.727804350930665978e-01,9.067544840276242635e-02,6.758745810478825611e-01,7.724309920111044336e-01,-2.336969217762039364e-01,-5.902795232045632279e-01
-2.728821580704515748e-01,8.926743209362031362e-02,6.763137358679305322e-01,7.705847599326499653e-01,-2.628414372425090240e-01,-5.806147661124652082e-01
-2.733614658365740580e-01,8.825742766261102101e-02,6.761395782009634869e-01,7.553639840076989964e-01,-2.983389535115241187e-01,-5.834544716442452428e-01
-2.764984299884994390e-01,8.397290796041489980e-02,6.749997604687404396e-01,6.827211282357654731e-01,-4.101574176836620400e-01,-6.047005488500516446e-01
-2.775408860695300350e-01,8.284364953637124440e-02,6.746209753240894891e-01,6.681025793812005453e-01,-4.246752924338332291e-01,-6.109744998119192028e-01
-2.758455939740763752e-01,1.221500144898891582e-01,6.761971021110201319e-01,7.035651925464444512e-01,4.414482184486494543e-01,-5.565295449404602524e-01
